movieNm,startDate,endDate,salesAmt,audiCnt
킬링 카인드: 킬러의 수제자,20210301,20220417,17001460.0,2167.0
킹 리차드,20210301,20220417,63469900.0,6594.0
킹메이커,20210301,20220417,7307710200.0,772996.0
킹스맨: 퍼스트 에이전트,20210301,20220417,10257010870.0,1021842.0
타다: 대한민국 스타트업의 초상,20210301,20220417,19374300.0,2585.0
타오르는 여인의 초상,20210301,20220417,6848200.0,782.0
타인의 친절,20210301,20220417,36996500.0,4466.0
태극기 휘날리며,20210301,20220417,9532700.0,1394.0
태일이,20210301,20220417,820889550.0,98888.0
톰과 제리,20210301,20220417,371771240.0,41292.0
트웬티 해커,20210301,20220417,5046000.0,987.0
특명: 스피드 레스큐,20210301,20220417,2010000.0,402.0
특송,20210301,20220417,4121097900.0,435630.0
티탄,20210301,20220417,4627640.0,510.0
"틱, 틱... 붐!",20210301,20220417,70373780.0,7757.0
팅커 테일러 솔저 스파이,20210301,20220417,51639200.0,6001.0
파이프라인,20210301,20220417,1196146750.0,136237.0
팜 스프링스,20210301,20220417,32222470.0,3734.0
패러렐 마더스,20210301,20220417,44884800.0,4933.0
패왕별희 디 오리지널,20210301,20220417,7816500.0,1328.0
퍼스트 카우,20210301,20220417,16142770.0,1769.0
퍼펙트 케어,20210301,20220417,18054090.0,2003.0
퍼피 구조대 더 무비,20210301,20220417,488146670.0,55673.0
포 언투 어스,20210301,20220417,2700000.0,300.0
프렌치 디스패치,20210301,20220417,731128610.0,67780.0
프로페서 앤 매드맨,20210301,20220417,128704500.0,14924.0
프리 가이 ,20210301,20220417,3047368190.0,301236.0
프리! 더 파이널 스트로크 전편,20210301,20220417,27623340.0,2904.0
플래시백,20210301,20220417,19677090.0,2446.0
피넛 버터 팔콘,20210301,20220417,12177010.0,1353.0
피닉스,20210301,20220417,4050770.0,467.0
피드백,20210301,20220417,18904700.0,2475.0
피어썸,20210301,20220417,9351000.0,1857.0
하늘의 푸르름을 아는 사람이여,20210301,20220417,82228300.0,9213.0
하빗,20210301,20220417,5000000.0,1000.0
하우스 오브 구찌,20210301,20220417,1350653360.0,136475.0
하이큐!! 땅 VS 하늘,20210301,20220417,116368970.0,13242.0
학교 가는 길,20210301,20220417,26419500.0,3668.0
한창나이 선녀님,20210301,20220417,7707470.0,1313.0
해길랍,20210301,20220417,98789280.0,11320.0
해리 포터와 불사조 기사단,20210301,20220417,51173860.0,5724.0
해리 포터와 불의 잔,20210301,20220417,14813500.0,1482.0
해리포터와 마법사의 돌,20210301,20220417,635599800.0,63975.0
해리포터와 아즈카반의 죄수,20210301,20220417,250005540.0,25302.0
해적: 도깨비 깃발,20210301,20220417,12429374990.0,1326411.0
해탄적일천,20210301,20220417,22210040.0,2294.0
해피 뉴 이어,20210301,20220417,2150165200.0,229306.0
호빗: 뜻밖의 여정,20210301,20220417,88071060.0,8133.0
호빗: 스마우그의 폐허,20210301,20220417,15986140.0,1824.0
호스트: 접속금지,20210301,20220417,122976600.0,13218.0
혼자 사는 사람들,20210301,20220417,62961040.0,7073.0
화양연화,20210301,20220417,34946480.0,3858.0
화이트데이: 부서진 결계,20210301,20220417,40750580.0,4292.0
휴가,20210301,20220417,14627100.0,1991.0
